-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cudaLaunchKernel         6.83%       22.722s         6.83%       22.722s      14.350us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b       1583450  
_ZN2at6native89_GLOBAL__N__65_tmpxft_00006838_000000...         0.00%       0.000us         0.00%       0.000us       0.000us      69.355ms         0.08%      69.355ms      69.355us           0 b           0 b           0 b           0 b          1000  
                                              aten::mul         0.03%      86.051ms         0.04%     129.294ms      43.127us     142.580ms         0.17%     142.580ms      47.558us           0 b           0 b      37.10 Gb      37.10 Gb          2998  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     529.231ms         0.64%     529.231ms       1.561us           0 b           0 b           0 b           0 b        338990  
                                              aten::add         0.06%     187.085ms         0.08%     280.516ms      46.760us     416.092ms         0.51%     416.092ms      69.360us           0 b           0 b      76.00 Gb      76.00 Gb          5999  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     710.396ms         0.86%     710.396ms       3.090us           0 b           0 b           0 b           0 b        229886  
                                 aten::reflection_pad2d         0.18%     614.930ms         0.48%        1.595s      61.290us        3.178s         3.86%        3.178s     122.094us           0 b           0 b     655.19 Gb           0 b         26026  
void at::native::(anonymous namespace)::reflection_p...         0.00%       0.000us         0.00%       0.000us       0.000us        3.178s         3.86%        3.178s     122.094us           0 b           0 b           0 b           0 b         26026  
                                           aten::conv2d         0.07%     222.956ms         1.61%        5.349s     205.543us       0.000us         0.00%       12.269s     471.432us           0 b           0 b     425.76 Gb           0 b         26026  
                                      aten::convolution         0.14%     455.395ms         1.54%        5.127s     196.977us       0.000us         0.00%       12.269s     471.432us           0 b           0 b     425.76 Gb           0 b         26026  
                                     aten::_convolution         0.17%     551.561ms         1.40%        4.671s     179.479us       0.000us         0.00%       12.269s     471.432us           0 b           0 b     425.76 Gb           0 b         26026  
                                aten::cudnn_convolution         0.46%        1.520s         0.94%        3.127s     120.141us       10.645s        12.94%       10.645s     408.998us           0 b           0 b     425.76 Gb     409.20 Gb         26026  
                                 cudaDeviceGetAttribute         0.00%      12.000us         0.00%      12.000us       0.207us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            58  
                              cudaStreamCreateWithFlags         0.00%     412.000us         0.00%     412.000us      25.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16  
                       cudaDeviceGetStreamPriorityRange         0.00%       4.000us         0.00%       4.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                           cudaStreamCreateWithPriority         0.00%       9.213ms         0.00%       9.213ms       1.152ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8  
                                        cudaMemsetAsync         0.14%     454.298ms         0.14%     454.298ms      21.518us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         21112  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      12.282ms         0.01%      12.282ms       0.582us           0 b           0 b           0 b           0 b         21112  
                               cudaEventCreateWithFlags         0.00%     544.000us         0.00%     544.000us       2.566us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           212  
                                          cudaHostAlloc         0.00%       1.156ms         0.00%       1.156ms     578.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                               cudaHostGetDevicePointer         0.00%       3.000us         0.00%       3.000us       1.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                               cudaFree         0.03%     115.698ms         0.03%     115.698ms       4.821ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            24  
                                             cudaMemcpy         0.00%      92.000us         0.00%      92.000us      46.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                   cudaFuncSetAttribute         0.00%     447.000us         0.00%     447.000us       1.322us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           338  
                                        cudaEventRecord         0.11%     370.603ms         0.11%     370.603ms       2.695us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b        137505  
                                         cudaMemGetInfo         0.00%      16.384ms         0.00%      16.384ms     215.579us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            76  
                                        cudaBindTexture         0.08%     255.217ms         0.08%     255.217ms       5.287us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         48269  
void cudnn::detail::implicit_convolve_sgemm<float, f...         0.00%       0.000us         0.00%       0.000us       0.000us     550.153ms         0.67%     550.153ms     137.161us           0 b           0 b           0 b           0 b          4011  
                                      cudaUnbindTexture         0.02%      52.822ms         0.02%      52.822ms       1.094us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         48269  
                                   cudaEventSynchronize         0.23%     750.800ms         0.23%     750.800ms       1.814ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           414  
                                   cudaEventElapsedTime         0.00%       2.774ms         0.00%       2.774ms       6.700us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           414  
cudnn::gemm::computeOffsetsKernel(cudnn::gemm::Compu...         0.00%       0.000us         0.00%       0.000us       0.000us      22.049ms         0.03%      22.049ms       1.829us           0 b           0 b           0 b           0 b         12052  
                volta_scudnn_128x32_relu_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us      99.000us         0.00%      99.000us      99.000us           0 b           0 b           0 b           0 b             1  
void im2col4d_kernel<float, int>(im2col4d_params, cu...         0.00%       0.000us         0.00%       0.000us       0.000us       8.787ms         0.01%       8.787ms     337.962us           0 b           0 b           0 b           0 b            26  
void cudnn::detail::explicit_convolve_sgemm<float, i...         0.00%       0.000us         0.00%       0.000us       0.000us       1.077ms         0.00%       1.077ms     107.700us           0 b           0 b           0 b           0 b            10  
                                        cudaEventCreate         0.00%     202.000us         0.00%     202.000us       4.040us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            50  
                                    cudaStreamWaitEvent         0.00%       3.124ms         0.00%       3.124ms       1.178us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2651  
void fft1d_r2c_256<float, float, float2, true, false...         0.00%       0.000us         0.00%       0.000us       0.000us     179.000us         0.00%     179.000us      35.800us           0 b           0 b           0 b           0 b             5  
void fft1d_r2c_256<float, float, float2, false, fals...         0.00%       0.000us         0.00%       0.000us       0.000us       3.478ms         0.00%       3.478ms     193.222us           0 b           0 b           0 b           0 b            18  
                                       cudaEventDestroy         0.00%     391.000us         0.00%     391.000us       1.936us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           202  
                                  volta_gcgemm_32x32_nt         0.00%       0.000us         0.00%       0.000us       0.000us       4.740ms         0.01%       4.740ms     112.857us           0 b           0 b           0 b           0 b            42  
void fft1d_c2r_256<float2, float, float, false, true...         0.00%       0.000us         0.00%       0.000us       0.000us       2.128ms         0.00%       2.128ms     152.000us           0 b           0 b           0 b           0 b            14  
                                          aten::reshape         0.05%     157.749ms         0.07%     228.699ms       8.787us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         26026  
                                   aten::_reshape_alias         0.02%      70.950ms         0.02%      70.950ms       2.726us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         26026  
                                             aten::add_         1.82%        6.048s         3.58%       11.916s      30.403us        2.070s         2.52%        2.070s       5.282us           0 b           0 b           0 b           0 b        391944  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us        1.625s         1.97%        1.625s      62.438us           0 b           0 b           0 b           0 b         26024  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      33.041ms         0.04%      33.041ms       1.100us           0 b           0 b           0 b           0 b         30030  
                                       aten::batch_norm         0.06%     207.762ms         1.41%        4.683s     155.936us       0.000us         0.00%        9.834s     327.467us           0 b           0 b     593.91 Gb           0 b         30030  
                           aten::_batch_norm_impl_index         0.07%     241.071ms         1.34%        4.475s     149.018us       0.000us         0.00%        9.834s     327.467us           0 b           0 b     593.91 Gb           0 b         30030  
                                 aten::cudnn_batch_norm         0.52%        1.740s         1.27%        4.234s     140.990us        9.834s        11.95%        9.834s     327.467us           0 b           0 b     593.91 Gb           0 b         30030  
                                       aten::empty_like         0.16%     515.848ms         0.52%        1.742s      30.975us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    1187.75 Gb           0 b         56254  
void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<float,...         0.00%       0.000us         0.00%       0.000us       0.000us        9.761s        11.86%        9.761s     609.478us           0 b           0 b           0 b           0 b         16016  
                                      aten::leaky_relu_         0.16%     541.662ms         0.27%     905.122ms      36.169us        1.552s         1.89%        1.552s      62.026us           0 b           0 b           0 b           0 b         25025  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        1.552s         1.89%        1.552s      62.026us           0 b           0 b           0 b           0 b         25025  
void cudnn::detail::implicit_convolve_sgemm<float, f...         0.00%       0.000us         0.00%       0.000us       0.000us      16.652ms         0.02%      16.652ms       1.189ms           0 b           0 b           0 b           0 b            14  
                volta_scudnn_128x64_relu_interior_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us        1.998s         2.43%        1.998s     331.317us           0 b           0 b           0 b           0 b          6029  
void cudnn::detail::explicit_convolve_sgemm<float, i...         0.00%       0.000us         0.00%       0.000us       0.000us       6.466ms         0.01%       6.466ms     718.444us           0 b           0 b           0 b           0 b             9  
